listing_id,availability_rate,available_days,unavailable_days,total_days,min_nights,max_nights,changes
17932142,0.936986301369863,342,23,365,2.0,1125.0,14
17995073,1.0,365,0,365,1.0,1125.0,1
18004305,0.0,0,365,365,1.2876712328767124,30.0,1
18004541,0.0,0,365,365,2.0,1125.0,1
18045059,0.8602739726027397,314,51,365,1.0,30.0,30
18087770,0.13424657534246576,49,316,365,2.0,1125.0,17
18094021,0.3150684931506849,115,250,365,28.0,99.0,3
18116785,0.4684931506849315,171,194,365,1.0,1125.0,3
18140657,0.41643835616438357,152,213,365,27.884931506849316,85.0,4
18144761,0.9698630136986301,354,11,365,14.306849315068494,365.0,2
18158934,0.5397260273972603,197,168,365,26.350684931506848,1125.0,4
18191320,0.9424657534246575,344,21,365,4.0,1125.0,5
18193437,0.8136986301369863,297,68,365,5.0,1125.0,4
18196512,0.0547945205479452,20,345,365,3.0,1125.0,3
18213344,0.0,0,365,365,1.0,14.0,1
18227580,0.6027397260273972,220,145,365,7.0,1125.0,6
18231306,0.024657534246575342,9,356,365,2.526027397260274,1125.0,3
18261017,0.9616438356164384,351,14,365,2.0,1125.0,12
18444264,1.0,365,0,365,40.0,365.0,1
18445897,0.736986301369863,269,96,365,2.0,1125.0,2
18465772,0.7041095890410959,257,108,365,1.0,1125.0,4
18522358,0.8958904109589041,327,38,365,1.8712328767123287,1125.0,30
18572595,0.9945205479452055,363,2,365,7.0,365.0,2
18575716,0.863013698630137,315,50,365,2.0,1125.0,26
18730792,0.0,0,365,365,1.0,1125.0,1
18743066,0.5013698630136987,183,182,365,7.0,117.12328767123287,9
18834979,0.06027397260273973,22,343,365,1.0,1125.0,3
18836324,0.06027397260273973,22,343,365,1.0,1125.0,3
18852470,1.0,365,0,365,1.0,1125.0,1
18854442,0.7123287671232876,260,105,365,1.0,1125.0,16
19021973,0.3917808219178082,143,222,365,1.0,1125.0,5
19029071,0.915068493150685,334,31,365,2.7013698630136984,1125.0,14
19081480,1.0,365,0,365,1.0,1125.0,1
19096581,0.9972602739726028,364,1,365,1.0,1125.0,2
19251975,0.9342465753424658,341,24,365,1.0,730.0,2
19285434,0.2136986301369863,78,287,365,2.0,90.0,5
19304717,0.10410958904109589,38,327,365,3.0,1125.0,4
19341075,0.6,219,146,365,1.0,1125.0,55
19449584,0.24383561643835616,89,276,365,2.0,1125.0,3
19482457,0.473972602739726,173,192,365,1.0,3.0,3
19497895,0.821917808219178,300,65,365,1.0,1125.0,50
19503854,0.7178082191780822,262,103,365,4.956164383561644,1125.0,3
19522328,0.9643835616438357,352,13,365,2.0,1125.0,12
19540248,0.0,0,365,365,3.1424657534246574,29.0,1
19557269,1.0,365,0,365,1.0,365.0,1
19851403,0.8328767123287671,304,61,365,1.0,365.0,7
19871804,1.0,365,0,365,1.0273972602739727,1125.0,1
20090942,0.6410958904109589,234,131,365,1.2876712328767124,1125.0,17
20186080,0.663013698630137,242,123,365,9.578082191780823,1125.0,4
20242657,0.9780821917808219,357,8,365,5.619178082191781,1125.0,10
20320194,0.4904109589041096,179,186,365,1.0,1125.0,3
20320966,0.4904109589041096,179,186,365,2.0,1125.0,3
20323618,0.6547945205479452,239,126,365,2.0,1125.0,3
20344049,0.8027397260273973,293,72,365,4.13972602739726,1125.0,7
20368942,0.3917808219178082,143,222,365,3.0,65.0,11
20373907,0.9041095890410958,330,35,365,1.0,1125.0,40
20375503,0.8657534246575342,316,49,365,1.0,1125.0,36
20453927,0.9972602739726028,364,1,365,3.0,1125.0,2
20493072,0.0,0,365,365,2.0,1125.0,1
20581199,0.9068493150684932,331,34,365,1.0,1125.0,36
20582671,0.15616438356164383,57,308,365,2.0,1125.0,25
20587506,0.7561643835616438,276,89,365,2.0,1125.0,4
20854415,0.9315068493150684,340,25,365,1.0,1125.0,14
20910508,0.5753424657534246,210,155,365,2.0,1125.0,27
20997170,0.0,0,365,365,3.0,31.0,1
21010933,0.7342465753424657,268,97,365,1.0,21.0,2
21075919,0.0,0,365,365,2.0,28.0,1
21210093,0.38904109589041097,142,223,365,1.0,7.0,3
21250830,0.9945205479452055,363,2,365,20.0,21.0,2
21378817,0.4767123287671233,174,191,365,2.0,1125.0,54
21382496,0.9780821917808219,357,8,365,2.0,1125.0,2
21419332,0.9287671232876712,339,26,365,1.0,1125.0,8
21420335,0.7287671232876712,266,99,365,1.0,100.0,5
21464877,0.7232876712328767,264,101,365,7.0,1125.0,4
21497673,0.9178082191780822,335,30,365,1.0,1125.0,8
21543318,0.8493150684931506,310,55,365,11.0,1125.0,4
21558942,0.6520547945205479,238,127,365,1.978082191780822,377.4931506849315,63
21564259,0.9808219178082191,358,7,365,1.0,30.0,2
21605534,0.9972602739726028,364,1,365,4.0,1125.0,2
21643446,0.9972602739726028,364,1,365,1.0,1125.0,2
21665066,0.24383561643835616,89,276,365,14.0,45.0,3
21729401,0.0,0,365,365,2.0,14.0,1
21788083,0.7972602739726027,291,74,365,1.9972602739726026,1125.0,32
21815455,0.3972602739726027,145,220,365,4.572602739726028,1125.0,2
21816505,0.24383561643835616,89,276,365,2.0,29.0,3
21908058,0.8712328767123287,318,47,365,7.0,1125.0,22
21908671,0.8657534246575342,316,49,365,1.0,1125.0,36
21912694,0.8465753424657534,309,56,365,2.0,1125.0,20
21920956,0.46301369863013697,169,196,365,1.0,1125.0,15
21934376,0.1863013698630137,68,297,365,1.4273972602739726,31.0,23
21987596,0.16164383561643836,59,306,365,3.0,1125.0,10
21990932,0.2958904109589041,108,257,365,1.989041095890411,1125.0,21
22003787,0.7698630136986301,281,84,365,2.1890410958904107,1125.0,4
22023357,0.6931506849315069,253,112,365,1.873972602739726,987.0,13
22141769,0.07397260273972603,27,338,365,1.9917808219178081,1125.0,11
22221519,0.9808219178082191,358,7,365,30.0,70.0,2
22247648,0.4383561643835616,160,205,365,2.0,821.972602739726,16
22410426,0.0,0,365,365,28.0,1125.0,1
22467299,0.0,0,365,365,3.0,31.0,1
22495505,0.0,0,365,365,1.0,4.0,1
22539566,0.16164383561643836,59,306,365,12.221917808219178,1125.0,4
22551754,0.4794520547945205,175,190,365,2.0,100.0,3
22659845,0.21095890410958903,77,288,365,2.0,400.0,18
22696592,0.0,0,365,365,1.0,50.0,1
22697157,0.9945205479452055,363,2,365,1.0027397260273974,81.0,5
22757932,0.5178082191780822,189,176,365,1.6904109589041096,30.0,34
22768803,0.0,0,365,365,2.0,1125.0,1
22824209,0.8958904109589041,327,38,365,2.0,1125.0,22
23136111,0.9013698630136986,329,36,365,4.0,1125.0,6
23138276,0.8849315068493151,323,42,365,5.619178082191781,1125.0,2
23198118,0.005479452054794521,2,363,365,2.0,1125.0,3
23263805,0.8191780821917808,299,66,365,2.0,1125.0,2
23268393,0.0684931506849315,25,340,365,2.0,1125.0,2
23346788,0.947945205479452,346,19,365,3.0,56.0,8
23457448,0.6986301369863014,255,110,365,1.989041095890411,1125.0,40
23514983,0.7397260273972602,270,95,365,7.0,1125.0,2
23556039,0.821917808219178,300,65,365,21.0,150.0,2
23596562,0.9972602739726028,364,1,365,1.0,365.0,3
23749506,0.12876712328767123,47,318,365,1.0,1125.0,11
23750510,0.9068493150684932,331,34,365,3.0,1125.0,4
23757265,1.0,365,0,365,1.0,1125.0,1
23765966,0.7397260273972602,270,95,365,14.0,1125.0,2
23942696,0.2465753424657534,90,275,365,3.1424657534246574,30.0,2
24114405,0.0,0,365,365,2.0,1125.0,1
24144685,0.0,0,365,365,2.0,1125.0,1
24150299,0.6027397260273972,220,145,365,2.0602739726027397,1125.0,13
24176134,0.0821917808219178,30,335,365,1.547945205479452,1125.0,9
24193885,0.4,146,219,365,4.273972602739726,1125.0,3
24197983,0.10410958904109589,38,327,365,1.6986301369863013,1125.0,11
24227377,0.473972602739726,173,192,365,5.0,1125.0,3
24364236,0.24383561643835616,89,276,365,15.0,180.0,3
24587783,0.9780821917808219,357,8,365,4.961643835616439,1125.0,3
24675423,0.38904109589041097,142,223,365,2.0,14.0,25
24675692,0.1863013698630137,68,297,365,1.0,1125.0,27
24713545,0.0,0,365,365,2.0,1125.0,1
24714572,0.0,0,365,365,1.0,1125.0,1
24748674,0.1178082191780822,43,322,365,1.7424657534246575,1125.0,9
24753299,0.7808219178082192,285,80,365,1.0,365.0,32
24794116,0.0,0,365,365,2.2849315068493152,1125.0,1
24814482,0.7342465753424657,268,97,365,1.0,30.0,3
24844278,0.0,0,365,365,2.0,1125.0,1
24940817,0.0,0,365,365,3.0,28.0,1
25050038,0.021917808219178082,8,357,365,1.0,7.0,3
25254123,0.9945205479452055,363,2,365,5.0,1125.0,2
25279572,0.1917808219178082,70,295,365,2.0,1125.0,18
25388525,0.0,0,365,365,2.0,1125.0,1
25392605,0.9616438356164384,351,14,365,3.0,1125.0,10
25393644,0.9945205479452055,363,2,365,5.0,1125.0,2
25503433,0.43561643835616437,159,206,365,3.0,1125.0,11
25574489,0.6958904109589041,254,111,365,2.0,1125.0,9
25614251,0.1726027397260274,63,302,365,1.0,729.0,29
25761044,0.0027397260273972603,1,364,365,1.0,1125.0,3
25822772,0.947945205479452,346,19,365,2.871232876712329,93.0,14
25864067,0.9945205479452055,363,2,365,7.0,365.0,2
26008723,0.4602739726027397,168,197,365,6.967123287671233,60.0,10
26068099,0.24383561643835616,89,276,365,2.0,14.0,3
26077918,0.08493150684931507,31,334,365,1.8876712328767122,1125.0,17
26133445,0.7726027397260274,282,83,365,1.9972602739726026,14.0,20
26163348,0.7780821917808219,284,81,365,2.0,1125.0,25
26227493,0.8575342465753425,313,52,365,14.0,1125.0,2
26357353,0.19452054794520549,71,294,365,2.287671232876712,100.0,4
26520342,0.13424657534246576,49,316,365,3.978082191780822,1125.0,9
26525201,0.6410958904109589,234,131,365,2.0,1125.0,11
26580530,0.0273972602739726,10,355,365,1.1506849315068493,1125.0,9
26744335,0.26301369863013696,96,269,365,3.0,29.0,3
26792816,0.0136986301369863,5,360,365,2.0,14.0,9
26813636,0.8931506849315068,326,39,365,3.0,1125.0,16
26856965,0.7643835616438356,279,86,365,7.0,360.0,2
26873244,0.0,0,365,365,2.9945205479452053,35.0,1
26898855,0.9863013698630136,360,5,365,2.0,365.0,4
26924119,0.9123287671232877,333,32,365,2.0,1125.0,10
26956040,0.24383561643835616,89,276,365,2.0,30.0,3
27041971,0.8849315068493151,323,42,365,2.0,1125.0,36
27094275,0.863013698630137,315,50,365,1.1342465753424658,31.0,40
27095791,0.8575342465753425,313,52,365,1.0,30.0,47
27130735,0.4794520547945205,175,190,365,20.55068493150685,1125.0,6
27152011,0.8301369863013699,303,62,365,2.0,1125.0,8
27153600,0.8931506849315068,326,39,365,1.2876712328767124,1125.0,38
27154734,0.0,0,365,365,1.0,7.0,1
27195584,0.4931506849315068,180,185,365,2.0,365.0,2
27222554,0.9972602739726028,364,1,365,1.0,30.0,2
