listing_id,availability_rate,available_days,unavailable_days,total_days,min_nights,max_nights,changes
21470866,0.9041095890410958,330,35,365,1.0,7.0,26
21558913,0.8027397260273973,293,72,365,30.0,730.0,3
21625540,0.0,0,365,365,2.0,7.0,1
21634802,0.4602739726027397,168,197,365,2.0,30.0,41
21642633,0.0,0,365,365,2.0,21.0,1
21665116,0.2493150684931507,91,274,365,2.0,30.0,7
21672726,0.9506849315068493,347,18,365,1.3232876712328767,1125.0,10
21673472,0.2465753424657534,90,275,365,6.983561643835617,1125.0,2
21706600,0.2273972602739726,83,282,365,1.0,30.0,7
21763280,0.18904109589041096,69,296,365,1.0,4.0,21
21797474,0.7205479452054795,263,102,365,5.0,1125.0,3
21878988,0.8164383561643835,298,67,365,1.9972602739726026,1125.0,50
21925182,0.2547945205479452,93,272,365,2.9945205479452053,200.0,3
22063785,0.07945205479452055,29,336,365,2.0,365.0,3
22154299,0.0,0,365,365,2.0,1125.0,1
22495628,0.0,0,365,365,1.821917808219178,1125.0,1
22501693,0.2821917808219178,103,262,365,1.0,1125.0,6
22625158,0.0,0,365,365,7.0,30.0,1
22683171,0.2328767123287671,85,280,365,1.0,4.0,3
22695560,0.01643835616438356,6,359,365,2.0,7.0,7
22757193,0.08493150684931507,31,334,365,4.0,1125.0,3
22772461,0.2328767123287671,85,280,365,1.0,90.0,3
22784219,0.9561643835616438,349,16,365,3.0,60.0,4
22813790,0.1726027397260274,63,302,365,2.0,1125.0,11
22862798,0.03287671232876712,12,353,365,2.326027397260274,30.0,13
22935217,0.9726027397260274,355,10,365,1.0,3.0,10
22957469,0.0,0,365,365,2.0,30.0,1
22977914,0.14520547945205478,53,312,365,1.0,4.0,29
22984209,0.9972602739726028,364,1,365,3.0,1125.0,2
23003996,0.09041095890410959,33,332,365,2.0,60.0,3
23035878,0.38082191780821917,139,226,365,1.0,1125.0,65
23083602,0.1780821917808219,65,300,365,2.0,4.0,11
23286595,0.0,0,365,365,28.0,90.0,1
23342066,0.26301369863013696,96,269,365,1.9972602739726026,5.0,5
23472825,0.2356164383561644,86,279,365,2.0,3.0,87
23479308,0.0,0,365,365,1.0,1125.0,1
23658661,0.7561643835616438,276,89,365,4.498630136986302,1125.0,38
23674768,0.7534246575342466,275,90,365,1.3232876712328767,1125.0,34
23693305,0.9287671232876712,339,26,365,1.3232876712328767,1125.0,8
